Packet No.	 Time Stamp(s) 	 ax(m/s^2) 	 ay(m/s^2) 	 az(m/s^2) 	 gx(deg/sec) 	 gy(deg/sec) 	 gz(deg/sec) 
6056   	   50.2872   	   0.179   	   -0.190   	   -0.881   	 --   	   --   	   --  
6057   	   50.4148   	   0.175   	   -0.170   	   -0.866   	 --   	   --   	   --  
6058   	   50.5428   	   0.165   	   -0.182   	   -0.905   	 --   	   --   	   --  
6059   	   50.6708   	   0.167   	   -0.164   	   -0.890   	 --   	   --   	   --  
6060   	   50.7988   	   0.171   	   -0.187   	   -0.872   	 --   	   --   	   --  
6061   	   50.9268   	   0.167   	   -0.145   	   -0.882   	 --   	   --   	   --  
6062   	   51.0548   	   0.169   	   -0.181   	   -0.879   	 --   	   --   	   --  
6063   	   51.1828   	   0.169   	   -0.164   	   -0.872   	 --   	   --   	   --  
6064   	   51.3108   	   0.177   	   -0.169   	   -0.898   	 --   	   --   	   --  
6065   	   51.4388   	   0.177   	   -0.155   	   -0.898   	 --   	   --   	   --  
6066   	   51.5668   	   0.166   	   -0.162   	   -0.866   	 --   	   --   	   --  
6067   	   51.6948   	   0.180   	   -0.173   	   -0.888   	 --   	   --   	   --  
6068   	   51.8228   	   0.172   	   -0.158   	   -0.848   	 --   	   --   	   --  
6069   	   51.9508   	   0.149   	   -0.140   	   -0.894   	 --   	   --   	   --  
6070   	   52.0788   	   0.180   	   -0.198   	   -0.894   	 --   	   --   	   --  
6071   	   52.2068   	   0.169   	   -0.174   	   -0.886   	 --   	   --   	   --  
6072   	   52.3348   	   0.164   	   -0.181   	   -0.885   	 --   	   --   	   --  
6073   	   52.4628   	   0.187   	   -0.192   	   -0.885   	 --   	   --   	   --  
6074   	   52.5908   	   0.174   	   -0.165   	   -0.867   	 --   	   --   	   --  
6075   	   52.7188   	   0.130   	   -0.142   	   -0.904   	 --   	   --   	   --  
6076   	   52.8468   	   0.142   	   -0.143   	   -0.906   	 --   	   --   	   --  
6077   	   52.9748   	   0.171   	   -0.168   	   -0.898   	 --   	   --   	   --  
6078   	   53.1028   	   0.153   	   -0.137   	   -0.889   	 --   	   --   	   --  
6079   	   53.2308   	   0.168   	   -0.159   	   -0.890   	 --   	   --   	   --  
6080   	   53.3588   	   0.191   	   -0.197   	   -0.865   	 --   	   --   	   --  
6081   	   53.4868   	   0.162   	   -0.173   	   -0.895   	 --   	   --   	   --  
6082   	   53.6148   	   0.169   	   -0.155   	   -0.903   	 --   	   --   	   --  
6083   	   53.7428   	   0.174   	   -0.150   	   -0.897   	 --   	   --   	   --  
6084   	   53.8708   	   0.201   	   -0.183   	   -0.884   	 --   	   --   	   --  
6085   	   53.9988   	   0.161   	   -0.180   	   -0.877   	 --   	   --   	   --  
6086   	   54.1268   	   0.186   	   -0.175   	   -0.880   	 --   	   --   	   --  
6087   	   54.2548   	   0.165   	   -0.163   	   -0.887   	 --   	   --   	   --  
6088   	   54.3828   	   0.164   	   -0.161   	   -0.894   	 --   	   --   	   --  
6089   	   54.5108   	   0.158   	   -0.171   	   -0.890   	 --   	   --   	   --  
6090   	   54.6388   	   0.185   	   -0.176   	   -0.870   	 --   	   --   	   --  
6091   	   54.7668   	   0.170   	   -0.164   	   -0.866   	 --   	   --   	   --  
6092   	   54.8948   	   0.174   	   -0.157   	   -0.902   	 --   	   --   	   --  
6093   	   55.0228   	   0.186   	   -0.180   	   -0.881   	 --   	   --   	   --  
6094   	   55.1508   	   0.180   	   -0.178   	   -0.856   	 --   	   --   	   --  
6095   	   55.2788   	   0.187   	   -0.176   	   -0.855   	 --   	   --   	   --  
6096   	   55.4068   	   0.172   	   -0.181   	   -0.864   	 --   	   --   	   --  
6097   	   55.5348   	   0.172   	   -0.161   	   -0.901   	 --   	   --   	   --  
6098   	   55.6628   	   0.184   	   -0.191   	   -0.909   	 --   	   --   	   --  
6099   	   55.7908   	   0.178   	   -0.185   	   -0.896   	 --   	   --   	   --  
6100   	   55.9188   	   0.171   	   -0.157   	   -0.905   	 --   	   --   	   --  
6101   	   56.0468   	   0.186   	   -0.178   	   -0.881   	 --   	   --   	   --  
6102   	   56.1748   	   0.191   	   -0.148   	   -0.890   	 --   	   --   	   --  
6103   	   56.3028   	   0.176   	   -0.162   	   -0.887   	 --   	   --   	   --  
6104   	   56.4308   	   0.185   	   -0.164   	   -0.897   	 --   	   --   	   --  
6105   	   56.5588   	   0.165   	   -0.173   	   -0.891   	 --   	   --   	   --  
6106   	   56.6868   	   0.172   	   -0.150   	   -0.853   	 --   	   --   	   --  
6107   	   56.8148   	   0.163   	   -0.164   	   -0.867   	 --   	   --   	   --  
6108   	   56.9428   	   0.156   	   -0.179   	   -0.891   	 --   	   --   	   --  
6109   	   57.0708   	   0.177   	   -0.182   	   -0.909   	 --   	   --   	   --  
